id;city;id_country
1;Al Khor;14
2;Al Rayyan;14
3;Asunci_n;12
4;Bangalore;6
5;Batna;2
6;Bergen;11
7;Black River;8
8;Ciudad del Este;12
9;Coimbra;13
10;Conakry;5
11;Constantine;2
12;Cork;7
13;Coronel Oviedo;12
14;Delhi;6
15;Djelfa;2
16;Doha;14
17;Dublin;7
18;Edmonton;3
19;Flacq;10
20;Johor Bahru;9
21;Kindia;5
22;Kingston;8
23;Kuala Lumpur;9
24;Kuching;9
25;Labasa;4
26;Limerick;7
27;Lisbon;13
28;Luganville;15
29;Melbourne;1
30;Moka;10
31;Mumbai;6
32;Nausori;4
33;Nz_r_kor_;5
34;Oslo;11
35;Perth;1
36;Port Louis;10
37;Port Vila;15
38;Porto;13
39;Saratamata;15
40;Savanna-la-Mar;8
41;Suva;4
42;Sydney;1
43;Toronto;3
44;Trondheim;11
45;Vancouver;3
